nuts,time,mean_temperature,hot_days,total_precipitation,extreme_precipitation_days,consecutive_dry_days,mean_wind_speed,fwi
PL,1960-08-01,289.8181719418485,0.19052435159642048,96.01160267703268,0.8434610185478343,5.10815130079225,3.2416735985069853,4.232904773142547
PL,1960-09-01,285.4115240680052,0.0,47.38829344333541,0.08532967533778545,12.25143886136913,3.5804569533967285,6.002368779432785
PL,1960-10-01,281.9534656841827,0.0,71.77129896241233,0.5054017666219124,5.023975372028189,3.5663527929002323,2.360021616856313
PL,1960-11-01,278.0321212968518,0.0,48.26766436612313,0.1823111424193816,6.405114081195303,3.5724544941602954,0.5951300754817355
PL,1960-12-01,275.445162761948,0.0,49.73071333639856,0.7505739632683875,8.123995657396634,3.501472227715912,0.38107431368292194
PL,1961-01-01,269.7686109968994,0.0,33.62035405691436,0.24249405027326718,10.956356958853661,3.6894589161120463,0.31592683193822224
PL,1961-02-01,274.7691997766008,0.0,40.04140948369155,0.5949502402455858,10.878880919769616,3.4625279497830124,0.640066487476231
PL,1961-03-01,278.2460387234902,0.0,52.028975581445415,0.15214837606293788,8.930857507667403,5.264326315577975,2.709861715872276
PL,1961-04-01,282.87113389399184,0.0,41.8075758007768,0.2542084338537667,10.201431837212583,3.6340453130041426,7.267077271523296
PL,1961-05-01,284.29841776667996,0.0,86.57143261737184,0.5048747628483178,6.285530807684386,3.208602196711885,4.367643112038856
PL,1961-06-01,290.6633776938093,0.48810803690118526,67.88682040225918,0.23803483548606327,6.631339313207024,3.2492563738658564,8.693573340242683
PL,1961-07-01,289.1198458772081,0.7351714799888998,111.06612276006429,0.7688152655636266,4.210186646379675,3.431774692741687,8.160302489567922
PL,1961-08-01,289.18115432126444,0.402804516576304,78.17008287762913,0.324549963035764,5.718181291039831,3.6001388403322285,4.1589332480314
PL,1961-09-01,287.55175795800017,0.0,32.02162724568463,0.07062826842509091,13.233395743166621,3.2829605340068255,8.018545877672267
PL,1961-10-01,283.6493467221033,0.0,26.35542563855685,0.13555191790201146,11.032058061074702,4.0459329810242854,11.38471968209223
PL,1961-11-01,276.77925538957743,0.0,51.04814310781524,0.6576192084416498,7.168416606979131,3.7883219713955802,2.2004885643638916
PL,1961-12-01,269.58987361612304,0.0,50.56480745935677,0.7425131473972815,8.814850257202444,4.151585123030149,0.41552160203893035
PL,1962-01-01,272.94322975192273,0.0,44.564902467673875,0.5571565074861387,6.211368974126779,4.814891351491526,0.36833888125378716
PL,1962-02-01,270.92716802078,0.0,67.16389133926818,1.5195398339666262,4.085751669099156,5.07573434972706,0.19122415308996174
PL,1962-03-01,271.3978086207168,0.0,62.94339336582017,1.3727916666495967,7.8081036000016315,3.677507172431144,0.43551928858585653
PL,1962-04-01,282.7989724747567,0.0,57.8890868066116,0.39020053166046426,9.893724723840752,3.708078442715794,4.702437813395989
PL,1962-05-01,283.59944995750317,0.0,121.78503006165002,1.25432736586047,2.333475570771139,3.1348570405343503,1.2116301159763332
PL,1962-06-01,287.29432927988717,0.07982153283621149,74.26282077347727,0.7207225324680807,6.771502625456801,3.5774015477261027,7.391289587531686
PL,1962-07-01,288.65570927833227,0.20904857559408854,78.76017025985244,0.2102244625848603,5.573276770741734,3.108977592766648,5.207199786466087
PL,1962-08-01,289.60359983105656,0.2889242610370059,84.93063080377487,0.4028712849954816,6.113860805229701,3.625144648858858,7.075484446423266
PL,1962-09-01,285.2753816162972,0.0069674828301004455,66.8639396179908,0.4157684520375237,5.724012820515882,3.7735765757211985,5.592934876909632
PL,1962-10-01,281.2787836003622,0.0,19.470423187530397,0.0,13.000076364559394,2.9282230606160806,3.5987857256134914
PL,1962-11-01,276.88887439966584,0.0,60.89088369010478,0.7230460538462069,7.947084097110455,3.679126938769771,2.169284775262394
PL,1962-12-01,268.60427231241613,0.0,36.98421862554137,0.2543974965845211,11.392860994385776,3.660826798828503,0.2322558744176696
PL,1963-01-01,262.2099064301243,0.0,28.482437807434973,0.0661807927621333,8.21814599910733,3.3474313630397665,0.1548406871580169
PL,1963-02-01,265.5857951801729,0.0,32.3748794390085,0.19634335873791417,6.877103620344649,3.399565013413752,0.14364086813180796
PL,1963-03-01,271.89232815101457,0.0,27.213126514043896,0.16052491952604434,9.522073039678942,4.143808289668316,0.8620370241213957
PL,1963-04-01,280.84258401777447,0.0,37.81099523186056,0.5126663141246532,11.806540646307822,3.0511987140437054,4.764620355865462
PL,1963-05-01,287.4206990998354,0.0,77.54738252338214,0.30104713324104615,4.232554930680162,2.806634898313346,4.743343573915411
PL,1963-06-01,289.7250779226263,0.6800958318062172,62.393690253729986,0.5027969288877465,6.937494641162103,3.156646141055811,10.394470863231899
PL,1963-07-01,292.46110370922383,3.3435990571318057,54.858581118013795,0.14840046477052846,6.999648630711351,2.8161598218179518,15.06286349826525
PL,1963-08-01,291.5410474382835,4.14169271213425,101.01745087212306,0.7852443516731945,4.931362066135551,3.288077773862943,10.593977170918658
PL,1963-09-01,287.76594238230473,0.0,84.13795611737216,0.8221654185960748,9.312257022256611,3.4205250584608833,4.099960183594016
PL,1963-10-01,281.3720069248747,0.0,57.6291165070489,0.3171558693399571,6.781994365728785,3.621723176161829,1.3284806485763054
PL,1963-11-01,279.5598569721702,0.0,84.37658824203696,1.4803692216160251,4.107811276664517,4.853760612125723,0.986684332377967
PL,1963-12-01,268.594424323738,0.0,25.796857867322625,0.06193627792655698,8.591083583554024,3.426901171930287,0.3502543379634595
PL,1964-01-01,268.7591627481025,0.0,23.385136036238638,0.0,12.515310288108102,3.929701233523081,0.2513597215666968
PL,1964-02-01,268.79918668547504,0.0,55.622323126342,0.3669566912780844,10.664376541253073,4.45316380654423,0.21598512842430267
PL,1964-03-01,270.4676176118747,0.0,37.13884875349426,0.25135895848757356,13.238407592462803,3.3591405325638974,0.6305527031152202
PL,1964-04-01,280.64634307158315,0.0,53.83614661131382,0.4271033360106834,6.516155982785822,3.4220518995454787,3.834603860517619
PL,1964-05-01,285.82377928986386,0.0,51.00486109821428,0.12504417000032758,10.601911537359646,3.002713732038269,8.199085902086166
PL,1964-06-01,292.4833132689399,1.9701658117177518,63.73531095107732,0.34984680748726554,7.728837079584419,2.8121162789341407,15.270994336611016
PL,1964-07-01,291.4199060084006,0.9058823458378551,52.994497817162646,0.11452109080099014,8.053682584613808,2.9745756031538515,12.34325987975353
PL,1964-08-01,289.0454480613224,0.03130572215486284,104.27393408973953,0.9482831431889591,5.807003848281225,3.435442799678465,6.1373594496615915
PL,1964-09-01,286.4597317129366,0.0,48.99243346492172,0.1888123612244203,7.33924353865894,3.894395128941129,6.712204310653957
PL,1964-10-01,280.7981655040934,0.0,59.98226984654871,0.5856507207726742,7.744009912500524,3.447881710130374,5.44759836135545
PL,1964-11-01,276.74512871963185,0.0,79.10696838616592,0.8990264615886031,9.50901777234991,4.164874537093729,0.7523393003778485
PL,1964-12-01,272.6108386496875,0.0,44.85696132830764,0.5981614685104826,7.780469847422417,3.5704416660596445,0.18711156481202967
PL,1965-01-01,271.9953487005335,0.0,55.60353910578196,0.4089720530723519,6.039267067919254,3.9742084399908237,0.16218829241285215
PL,1965-02-01,267.70584319094837,0.0,48.27712902414879,0.2534119122241866,3.584006029748334,4.465685987756117,0.11680592650477048
PL,1965-03-01,273.3107059040327,0.0,47.60302528118952,0.6365221383589899,10.323824691754044,3.5559843448885307,0.5407176942868511
PL,1965-04-01,279.36541821000594,0.0,63.699873610503275,0.5317995342677051,8.6109882812134,3.783136924637193,3.1896361468445886
PL,1965-05-01,283.0389938034326,0.0,97.63026357219522,1.0975799439556393,4.393168257182006,3.466218698307033,2.652488208419473
PL,1965-06-01,288.8568983848626,0.18446442550647413,78.56476460497925,0.4683426389184988,6.086038627376668,3.725554449191926,6.00481843138352
PL,1965-07-01,289.33970841950054,0.0,99.92745170096391,0.2581499978550303,3.564834522034418,3.8600885158304954,5.592354466988281
PL,1965-08-01,288.7494663224182,0.02002590922962091,81.97963192182448,0.9206527156098282,8.717076187402762,3.0868963265258578,6.7974844598130915
PL,1965-09-01,287.6731636991163,0.0,59.46047224875942,0.7058813790035444,8.2899568870964,3.5385886328394505,6.2464656118782695
PL,1965-10-01,281.0829253791714,0.0,15.109297415052328,0.0,14.960655969148814,3.1916755455261563,5.734408468399022
PL,1965-11-01,272.2225283842793,0.0,55.85433569594059,0.4827129590683126,7.719840988689989,4.152178527027279,2.4179995086621697
PL,1965-12-01,273.55696629861535,0.0,59.217268908810986,0.35187197840657936,5.02527237962734,4.565596512291801,0.2687290452909677
PL,1966-01-01,267.97996910337775,0.0,49.30809058549579,0.28936983297134544,9.47487959526881,3.5229766012506256,0.14094891552499367
PL,1966-02-01,273.0804839608223,0.0,65.07674819451307,1.0672602128281223,4.587015255642794,3.7743343284186404,0.39269442357237533
PL,1966-03-01,275.62885506799205,0.0,55.37430517320312,0.10922338293238093,4.955150983371885,4.22367616738508,0.7432174969528017
PL,1966-04-01,281.35635877117704,0.0,59.72502346291701,0.6859800389002582,5.7901406222384235,3.0843200765121477,2.2412782238680142
PL,1966-05-01,286.25137527802576,0.0,78.89723063333645,0.9703879449718116,8.63341870983365,3.3014990919233558,8.419503235398713
PL,1966-06-01,290.1930070280527,0.07003857562594228,88.52866957142948,1.3109971042589297,10.321663438053047,3.1675657030158026,12.812081982867875
